Resistance (Ω),Table Temp (°C),ADC Value
0.000,125.000,0
39.216,125.000,16
78.740,125.000,32
118.577,125.000,48
158.730,125.000,64
199.203,125.000,80
240.000,125.000,96
281.124,125.000,112
322.581,125.000,128
364.372,125.000,144
406.504,125.000,160
448.980,125.000,176
491.803,125.000,192
534.979,124.830,208
578.512,121.427,224
622.407,118.292,240
666.667,115.387,256
711.297,112.682,272
756.303,110.152,288
801.688,107.776,304
847.458,105.536,320
893.617,103.418,336
940.171,101.410,352
987.124,99.500,368
1034.483,97.680,384
1082.251,95.942,400
1130.435,94.278,416
1179.039,92.682,432
1228.070,91.149,448
1277.533,89.674,464
1327.434,88.253,480
1377.778,86.882,496
1428.571,85.556,512
1479.821,84.275,528
1531.532,83.033,544
1583.710,81.829,560
1636.364,80.661,576
1689.498,79.526,592
1743.119,78.422,608
1797.235,77.348,624
1851.852,76.301,640
1906.977,75.281,656
1962.617,74.286,672
2018.779,73.315,688
2075.472,72.366,704
2132.701,71.438,720
2190.476,70.530,736
2248.804,69.642,752
2307.692,68.772,768
2367.150,67.920,784
2427.184,67.085,800
2487.805,66.265,816
2549.020,65.461,832
2610.837,64.671,848
2673.267,63.896,864
2736.318,63.133,880
2800.000,62.384,896
2864.322,61.647,912
2929.293,60.922,928
2994.924,60.209,944
3061.224,59.506,960
3128.205,58.814,976
3195.876,58.132,992
3264.249,57.460,1008
3333.333,56.797,1024
3403.141,56.144,1040
3473.684,55.499,1056
3544.974,54.863,1072
3617.021,54.235,1088
3689.840,53.614,1104
3763.441,53.002,1120
3837.838,52.396,1136
3913.043,51.798,1152
3989.071,51.207,1168
4065.934,50.622,1184
4143.646,50.044,1200
4222.222,49.472,1216
4301.676,48.906,1232
4382.022,48.346,1248
4463.277,47.791,1264
4545.455,47.242,1280
4628.571,46.698,1296
4712.644,46.160,1312
4797.688,45.626,1328
4883.721,45.097,1344
4970.760,44.573,1360
5058.824,44.054,1376
5147.929,43.538,1392
5238.095,43.027,1408
5329.341,42.521,1424
5421.687,42.018,1440
5515.152,41.519,1456
5609.756,41.024,1472
5705.521,40.532,1488
5802.469,40.044,1504
5900.621,39.560,1520
6000.000,39.079,1536
6100.629,38.601,1552
6202.532,38.126,1568
6305.732,37.654,1584
6410.256,37.185,1600
6516.129,36.719,1616
6623.377,36.256,1632
6732.026,35.795,1648
6842.105,35.338,1664
6953.642,34.882,1680
7066.667,34.429,1696
7181.208,33.978,1712
7297.297,33.530,1728
7414.966,33.084,1744
7534.247,32.640,1760
7655.172,32.198,1776
7777.778,31.758,1792
7902.098,31.320,1808
8028.169,30.884,1824
8156.028,30.450,1840
8285.714,30.017,1856
8417.266,29.586,1872
8550.725,29.156,1888
8686.131,28.729,1904
8823.529,28.302,1920
8962.963,27.877,1936
9104.478,27.454,1952
9248.120,27.031,1968
9393.939,26.610,1984
9541.985,26.190,2000
9692.308,25.771,2016
9844.961,25.354,2032
10000.000,24.937,2048
10157.480,24.521,2064
10317.460,24.106,2080
10480.000,23.693,2096
10645.161,23.279,2112
10813.008,22.867,2128
10983.607,22.455,2144
11157.025,22.044,2160
11333.333,21.634,2176
11512.605,21.224,2192
11694.915,20.814,2208
11880.342,20.405,2224
12068.966,19.996,2240
12260.870,19.588,2256
12456.140,19.180,2272
12654.867,18.772,2288
12857.143,18.364,2304
13063.063,17.957,2320
13272.727,17.549,2336
13486.239,17.142,2352
13703.704,16.735,2368
13925.234,16.327,2384
14150.943,15.919,2400
14380.952,15.511,2416
14615.385,15.103,2432
14854.369,14.695,2448
15098.039,14.286,2464
15346.535,13.877,2480
15600.000,13.467,2496
15858.586,13.057,2512
16122.449,12.647,2528
16391.753,12.235,2544
16666.667,11.823,2560
16947.368,11.410,2576
17234.043,10.997,2592
17526.882,10.582,2608
17826.087,10.167,2624
18131.868,9.751,2640
18444.444,9.333,2656
18764.045,8.915,2672
19090.909,8.495,2688
19425.287,8.074,2704
19767.442,7.652,2720
20117.647,7.228,2736
20476.190,6.803,2752
20843.373,6.376,2768
21219.512,5.948,2784
21604.938,5.518,2800
22000.000,5.086,2816
22405.063,4.652,2832
22820.513,4.216,2848
23246.753,3.779,2864
23684.211,3.339,2880
24133.333,2.897,2896
24594.595,2.452,2912
25068.493,2.006,2928
25555.556,1.556,2944
26056.338,1.105,2960
26571.429,0.650,2976
27101.449,0.192,2992
27647.059,-0.268,3008
28208.955,-0.732,3024
28787.879,-1.198,3040
29384.615,-1.668,3056
30000.000,-2.142,3072
30634.921,-2.619,3088
31290.323,-3.100,3104
31967.213,-3.585,3120
32666.667,-4.074,3136
33389.831,-4.567,3152
34137.931,-5.064,3168
34912.281,-5.567,3184
35714.286,-6.074,3200
36545.455,-6.586,3216
37407.407,-7.103,3232
38301.887,-7.626,3248
39230.769,-8.154,3264
40196.078,-8.688,3280
41200.000,-9.229,3296
42244.898,-9.776,3312
43333.333,-10.329,3328
44468.085,-10.890,3344
45652.174,-11.458,3360
46888.889,-12.034,3376
48181.818,-12.618,3392
49534.884,-13.210,3408
50952.381,-13.811,3424
52439.024,-14.422,3440
54000.000,-15.043,3456
55641.026,-15.674,3472
57368.421,-16.316,3488
59189.189,-16.969,3504
61111.111,-17.634,3520
63142.857,-18.313,3536
65294.118,-19.005,3552
67575.758,-19.711,3568
70000.000,-20.433,3584
72580.645,-21.170,3600
75333.333,-21.926,3616
78275.862,-22.699,3632
81428.571,-23.493,3648
84814.815,-24.307,3664
88461.538,-25.145,3680
92400.000,-26.006,3696
96666.667,-26.895,3712
101304.348,-27.811,3728
106363.636,-28.759,3744
111904.762,-29.741,3760
118000.000,-30.760,3776
124736.842,-31.819,3792
132222.222,-32.924,3808
140588.235,-34.078,3824
150000.000,-35.288,3840
160666.667,-36.561,3856
172857.143,-37.904,3872
186923.077,-39.329,3888
203333.333,-40.000,3904
222727.273,-40.000,3920
246000.000,-40.000,3936
274444.444,-40.000,3952
310000.000,-40.000,3968
355714.286,-40.000,3984
416666.667,-40.000,4000
502000.000,-40.000,4016
630000.000,-40.000,4032
843333.333,-40.000,4048
1270000.000,-40.000,4064
0.000,-40.000,0
